,POA_CODE_2016,T_SOLSE_NWNAA_T,A15_24_SOLSE_NWNAA_T,A35_44_SOLSE_NWNAA_T,A65_74_SOLSE_NWNAA_T,Counted_home_Census_Night_Tot,P_SOL_SE_NW_NA_Total,suburbs
285,POA2361,6,0,0,0,852,0,"Ashford, Atholwood, Limestone, Bonshaw, Pindaroi"
286,POA2365,13,0,0,0,3473,0,"Oban, Brushy Creek, Tubbamurra, Glencoe, Brockley, Ben Lomond, Georges Creek, Guyra, The Gulf, Falconer, Llangothlin, Black Mountain, Baldersleigh, Bald Blair, Mount Mitchell, Wandsworth, Maybole, South Guyra, Backwater, Tenterden, Green Hills, Briarbrook, Bassendean, Glen Nevis, The Basin, New Valley"
287,POA2369,3,0,0,0,867,0,"Tingha, Old Mill, Stannifer"
288,POA2370,15,0,5,0,7148,9,"Dundee, Moggs Swamp, Shannon Vale, Glen Innes, Wellingrove, Morven, Glen Elgin, Kingsland, Stonehenge, Diehard, Reddestone, Pinkett, Matheson, Bald Nob, Swan Vale, Gibraltar Range, Newton Boyd, Lambs Valley, Kookabookra, Yarrowford, Moogem, Furracabad, Kingsgate, Red Range, Rangers Valley"
289,POA2371,0,0,0,0,1073,0,"Rocky Creek, Yellow Dam, Capoompeta, Emmaville, Stannum, Deepwater, Wellington Vale, Torrington"
290,POA2372,8,0,5,0,4404,7,"Silent Grove, Woodside, Liston, Bolivia, Sandy Hill, Back Creek, Rocky River, Tarban, Black Swamp, Boorook, Sandy Flat, Rivertree, Boonoo Boonoo, Dumaresq Valley, Mole River, Wylie Creek, Forest Land, Timbarra, Bookookoorara, Tenterfield, Bungulla, Carrolls Creek, Willsons Downfall, Cullendore"
291,POA2380,29,3,5,3,9864,17,"Coocooboonah, Ghoolendaadi, Kelvin, Rangari, Orange Grove, Milroy, Emerald Hill, Marys Mount, Gunnedah, Burburgate, Blue Vale"
292,POA2381,0,0,0,0,1123,0,"Curlewis, Pullaming, Breeza, Tambar Springs, Premer"
293,POA2382,3,3,0,0,1251,3,"Maules Creek, Willala, Wean, Boggabri"
294,POA2386,0,0,0,0,322,0,"Drildool, Burren Junction, Nowley"
295,POA2388,4,0,0,0,2516,6,"Merah North, Cuttabri, Yarrie Lake, Spring Plains, Boolcarroll, Pilliga, The Pilliga, Wee Waa"
296,POA2390,9,0,4,0,8245,18,"Jacks Creek, Kaputar, Turrawan, Eulah Creek, Edgeroi, Harparary, Narrabri West, Berrigal, Rocky Creek, Baan Baa, Bullawa Creek, Couradda, Back Creek, Narrabri, Tarriaro, Bohena Creek"
297,POA2395,4,0,0,0,605,0,"Ropers Road, Binnaway, Weetaliba"
298,POA2396,0,0,0,0,816,0,"Barwon, Goorianawa, Kenebri, Baradine"
299,POA2397,0,0,0,0,344,0,"Millie, Bellata, Jews Lagoon"
300,POA2399,0,0,0,0,552,0,"Biniguy, Pallamallawa"
301,POA2400,39,3,3,5,9374,27,"Bullarah, Terry Hie Hie, Moree East, Moree, Crooble, Tulloona, Mallowa, Ashley"
302,POA2401,0,0,0,0,308,0,Gravesend
303,POA2402,3,0,0,0,1664,3,"Coolatai, Warialda, Warialda Rail"
304,POA2403,0,0,0,0,683,0,"Delungra, Myall Creek, Koloona, Gragin, Balfours Peak"
305,POA2404,3,0,0,0,1702,0,"Bingara, Elcombe, Keera, Gineroi, Bangheet, Pallal, Riverview, Dinoga, Upper Bingara"
306,POA2405,0,0,0,0,437,0,"Boomi, Garah"
307,POA2406,0,0,0,0,742,3,"Weemelah, Mungindi"
308,POA2408,0,0,0,0,338,0,"North Star, Blue Nobby, Yallaroi"
309,POA2409,0,0,0,0,973,0,"Boggabilla, Boonal"
310,POA2410,0,0,0,0,246,3,"Yetman, Twin Rivers"
311,POA2415,0,0,0,0,361,0,"Monkerai, Nooroo, Stroud Road, Upper Karuah River, Weismantels"
312,POA2420,0,0,0,0,3780,0,"Fosterton, Wallarobba, Underbank, Dungog, Stroud Hill, Bendolba, Main Creek, Wirragulla, Sugarloaf, Brookfield, Bandon Grove, Salisbury, Hanleys Creek, Marshdale, Munni, Flat Tops, Wallaringa, Cambra, Tabbil Creek, Hilldale, Alison, Chichester, Martins Creek"
313,POA2421,0,0,0,0,1766,0,"Webbers Creek, Tocal, Fishers Hill, Trevallyn, Vacy, Paterson, Torryburn, Summer Hill"
314,POA2422,3,0,0,0,4980,3,"Gloucester Tops, Belbora, Barrington, Bulliac, Stratford, Cobark, Rawdon Vale, Gangat, Gloucester, Craven, Copeland, Giro, Bundook, Wards River, Forbesdale, Rookhurst, Dewitt, Curricabark, Callaghans Creek, Bowman, Faulkland, Mograni, Bindera, Upper Bowman, Titaatee Creek, Baxters Ridge, Barrington Tops, Coneac, Terreel, Bretti, Craven Plateau, Tugrabakh, Invergordon, Glen Ward, Bowman Farm, Kia Ora, Back Creek, Waukivory, Tibbuc, Woko, Berrico, Mernot, Wallanbah, Moppy, Mares Run, Bakers Creek"
315,POA2423,0,0,0,0,2761,3,"Upper Myall, Bungwahl, Crawford River, Violet Hill, Wang Wauk, Mayers Flat, Wootton, Boolambayte, Topi Topi, Bulahdelah, Markwell, Mungo Brush, Warranulla, Myall Lake, Nerong, Bombah Point, Coolongolook, Yagon, Willina, Seal Rocks"
316,POA2424,0,0,0,0,396,0,"Knorrit Flat, Mount George, Cells River, Cundle Flat, Caffreys Flat, Number One, Tiri, Cooplacurripa, Knorrit Forest"
317,POA2425,3,0,0,0,1678,0,"Allworth, Washpool, Stroud, The Branch, Girvan, Booral"
318,POA2426,0,0,0,0,673,0,"Moto, Coopernook, Langley Vale"
319,POA2427,3,0,0,3,2851,7,"Harrington, Crowdy Head"
320,POA2428,51,3,7,8,22358,46,"Whoota, Coomba Bay, Coomba Park, Elizabeth Beach, Blueys Beach, Smiths Lake, Booti Booti, Tiona, Forster, Shallow Bay, Green Point, Forster Shopping Village, Tuncurry, Wallingat, Charlotte Bay, Tarbuck Bay, Darawank, Sandbar, Pacific Palms, Wallis Lake, Boomerang Beach"
321,POA2429,11,0,3,0,9168,0,"Bobin, Kimbriki, Cedar Party, Bucca Wauka, Burrell Creek, Krambach, Dyers Crossing, Yarratt Forest, Killawarra, Killabakh, Wingham, Innes View, Comboyne, Kundibakh, Elands, Bulga Forest, Wherrol Flat, Khatambuhl, Marlee, Dollys Flat, Mooral Creek, Strathcedar, Bunyah, The Bight, Warriwillah, Tipperary, Caparra, Boorganna, Firefly, Kippaxs, Dingo Forest, Karaak Flat"
322,POA2430,59,3,13,3,32084,68,"Purfleet, Cundletown, Bohnock, Rainbow Flat, Taree, Brimbin, Cabbage Tree Island, Kundle Kundle, Glenthorne, Black Head, Oxley Island, Dumaresq Island, Chatham, Ghinni Ghinni, Old Bar, Lansdowne, Mitchells Island, Hallidays Point, Possum Brush, Lansdowne Forest, Koorainghat, Diamond Beach, Kolodong, Tallwoods Village, Failford, Bootawa, Upper Lansdowne, Hillville, Red Head, Kiwarrak, Croki, Tinonee, Jones Island, Wallabi Point, Saltwater, Manning Point, Pampoolah, Mondrook, Taree South, Melinga"
323,POA2431,16,0,0,0,4800,6,"South West Rocks, Arakoon, Jerseyville"
324,POA2439,0,0,0,0,2754,0,"Kerewong, Lorne, Black Creek, Rossglen, Batar Creek, Upsalls Creek, Kew, Logans Crossing, Kendall, Swans Crossing"
325,POA2440,46,5,4,3,20685,22,"West Kempsey, Yarravel, Dondingalong, East Kempsey, Lower Creek, Old Station, Frederickton, Temagog, Comara, Rainbow Reach, Kinchela, Yessabah, South Kempsey, Wittitrin, Skillion Flat, Toorooka, Sherwood, Hampden Hall, Willi Willi, Bellimbopinni, Willawarrin, Belmore River, Kempsey, Greenhill, Aldavilla, Carrai, Hickeys Creek, Gladstone, Millbank, Pola Creek, Austral Eden, Hat Head, Euroka, Deep Creek, Clybucca, Seven Oaks, Mooneba, Turners Flat, Crescent Head, Moparrabah, Smithtown, Collombatti, Burnt Bridge, Summer Island, Bellbrook, Mungay Creek, Corangula, Verges Creek"
326,POA2441,3,0,0,0,4111,12,"Eungai Rail, Yarrahapinni, Kundabung, Bril Bril, Upper Rollands Plains, Cooperabung, Eungai Creek, Stuarts Point, Tamban, Crossmaglen, Telegraph Point, Fishermans Reach, Allgomera, Grassy Head, Ballengarra, Gum Scrub, Barraganyatti, Marlo Merrican, Kippara, Bonville, Rollands Plains, Hacks Ferry"
327,POA2443,10,0,0,0,8281,6,"Diamond Head, Laurieton, Coralville, Waitui, Bobs Creek, North Haven, Deauville, Middle Brother, Stewarts River, Dunbogan, Lakewood, North Brother, Camden Head, Moorland, Hannam Vale, Crowdy Bay National Park, West Haven, Herons Creek, Johns River"
328,POA2444,124,8,20,14,43674,66,"Riverside, Limeburners Creek, Blackmans Point, Fernbank Creek, Port Macquarie Bc, North Shore, The Hatch, Flynns Beach, Port Macquarie, Thrumster, Settlement City, Lighthouse Beach"
329,POA2445,3,0,0,3,6034,0,"Bonny Hills, Lake Cathie, Grants Beach, Jolly Nose"
330,POA2446,8,0,0,0,12625,0,"Wauchope, Hartys Plains, Banda Banda, Yippin Creek, Redbank, Long Flat, Pembrooke, Bago, Ellenborough, Birdwood, Bellangry, Lower Pappinbarra, Forbes River, Hollisdale, Sancrox, Toms Creek, Rawdon Island, King Creek, Brombin, Rosewood, Beechwood, Pappinbarra, Yarras, Cairncross, Byabarra, Huntingdon, Mount Seaview, Kindee, Mortons Creek, Doyles River, Gearys Flat, Upper Pappinbarra, Werrikimbe, Frazers Creek, Bagnoo, Debenham, Lake Innes, Kings Creek, Crosslands, Hyndmans Creek, Pipeclay"
331,POA2447,5,0,0,0,6721,12,"Gumma, Taylors Arm, Wirrimbi, Congarinni, Scotts Head, Newee Creek, Warrell Creek, Upper Taylors Arm, Thumb Creek, Talarm, Macksville, Congarinni North, Burrapine, Donnellyville, Yarranbella, Bakers Creek, Way Way, Utungun, North Macksville"
332,POA2448,6,0,0,3,8501,10,"Hyland Park, Valla, Valla Beach, Nambucca Heads"
333,POA2449,3,0,0,0,2068,0,"South Arm, Missabotti, Bowraville, Buckra Bendinni, Killiekrankie, Tewinga, Girralong, Argents Hill, Kennaicle Creek"
334,POA2450,535,63,105,36,41379,340,"Upper Orara, Coffs Harbour, Coffs Harbour Plaza, Moonee Beach, Nana Glen, Bonville, Sapphire Beach, Brooklana, Ulong, Korora, Lower Bucca, Glenreagh, Coffs Harbour Jetty, Sherwood, Lowanna, North Boambee Valley, Bucca, Coramba, Boambee, Karangi"
335,POA2452,35,8,5,4,14242,21,"Sawtell, Boambee East, Toormina"
336,POA2453,3,0,0,0,2596,6,"Never Never, Deer Vale, Billys Creek, North Dorrigo, Ebor, Marengo, Dundurrabin, Clouds Creek, Tallowwood Ridge, Cascade, Bielsdown Hills, Tyringham, Bostobrick, Megan, Hernani, Dorrigo, Fernbrook, Briggsvale, Dorrigo Mountain, Wild Cattle Creek, Moonpar"
337,POA2454,8,0,0,0,7176,6,"Mylestom, Fernmount, Valery, Raleigh, Thora, Spicketts Creek, Brinerville, Kalang, Sunny Corner, Repton, Brierfield, Bundagen, Darkwood, Gleniffer, Bellingen"
338,POA2455,0,0,0,0,2814,6,Urunga
339,POA2456,257,24,38,14,13888,127,"Mullaway, Emerald Beach, Upper Corindi, Corindi Beach, Red Rock, Arrawarra, Arrawarra Headland, Safety Beach, Dirty Creek, Woolgoolga, Sandy Beach"
340,POA2460,41,3,5,6,27557,45,"Smiths Creek, Halfway Creek, Gurranang, Eatonsville, Braunstone, Buccarumbi, Kungala, Clifden, Lanitza, Whiteman Creek, Banyabba, Fine Flower, Carrs Creek, Coutts Crossing, Tyndale, Baryulgil, Collum Collum, Bookram, Waterview, Eighteen Mile, Brushgrove, Jackadgery, Mountain View, Fortis Creek, Alumy Creek, Grafton, Lionsville, Lilydale, Dalmorton, Kangaroo Creek, Lower Southgate, Great Marlow, Seelands, Chambigne, South Grafton, Grafton West, Junction Hill, Copmanhurst, Dilkoon, Levenstrath, South Arm, Bom Bom, Ramornie, Upper Copmanhurst, Stockyard Creek, Coaldale, Cowper, Heifer Station, The Pinnacles, Cangai, Southgate, Wells Crossing, Elland, Clarenza, Waterview Heights, Newbold, Deep Creek, Punchbowl, Koolkhan, Washpool, Carnham, Trenayr, The Whiteman, Wombat Creek, Moleville Creek, Mylneford, Upper Fine Flower, Glenugie, Dumbudgery, Chaelundi, Kyarran, Pulganbar, Winegrove, Towallum, Crowther Island, Nymboida, Southampton, Sandy Crossing, Calamia, Blaxlands Creek, Barcoongere, Warragai Creek, Coombadjha, Rushforth, Malabugilmah, Barretts Creek, Lawrence, Kremnos, Shannondale, Carrs Island, Carrs Peninsular"
341,POA2462,3,0,0,0,2263,0,"Wooli, Lavadia, Ulmarra, Swan Creek, Pillar Valley, Gilletts Ridge, Minnie Water, Lake Hiawatha, Diggers Camp, Calliope, Tucabia, Coldstream"
342,POA2463,5,0,0,0,7154,9,"Maclean, Palmers Island, Townsend, The Sandon, Shark Creek, Palmers Channel, Ashby, Ashby Island, Gulmarrad, Woodford Island, Ilarwill, James Creek, Tullymorgan, Jacky Bulbin Flat, Brooms Head, Sandon, Taloumbi, Woodford, Ashby Heights"
343,POA2464,14,0,0,3,6281,11,"Freeburn Island, Angourie, Micalo Island, Yuraygir, Yamba, Wooloweyah"
344,POA2465,0,0,0,0,282,0,Harwood
345,POA2466,3,0,0,0,1620,0,"Woody Head, Iluka, The Freshwater"
346,POA2469,4,0,0,0,3759,4,"Haystack, Lower Duck Creek, Paddys Flat, Bonalbo, Ewingar, Rappville, Theresa Creek, Gorge Creek, Goodwood Island, Pikapene, Camira, Tabulam, Mallanganee, Chatsworth, Drake, Kippenduff, Old Bonalbo, Pagans Flat, Bottle Creek, Duck Creek, Mummulgum, Mount Marsh, Alice, Capeen Creek, Myrtle Creek, Drake Village, Mororo, Lower Bottle Creek, Whiporie, Deep Creek, Gibberagee, Jacksons Flat, Clearfield, Joes Box, Six Mile Swamp, Louisa Creek, Bean Creek, Keybarbin, Tunglebung, Wyan, Peacock Creek, Woombah, Lower Peacock, Bungawalbin, Hogarth Range, Busbys Flat, Warregah Island, Mookima Wybra, Bingeebeebra Creek, Cambridge Plateau, Coongbar, Yabbra, Culmaran Creek, Sandilands, Simpkins Creek, Upper Duck Creek, Bulldog"
347,POA2470,19,0,6,0,14507,31,"Ellangowan, Sextonville, Yorklea, Irvington, Fairy Hill, Babyl Creek, Dobies Bight, Dyraaba Creek, Shannon Brook, Stratheden, Dyraaba Central, Baraimal, Spring Grove, Leeville, Dyraaba, Coombell, Doubtful Creek, Naughtons Gap, Casino, Backmede, Tomki, Woodview, Upper Mongogarie, Lower Dyraaba, Woolners Arm, North Casino, Piora, Mongogarie"
348,POA2471,10,0,3,3,2410,6,"Codrington, Bora Ridge, Tatham, Coraki, North Woodburn, Swan Bay, Greenridge, East Coraki, West Coraki, West Bungawalbin, Green Forest"
349,POA2472,3,0,0,0,1737,0,"Rileys Hill, Broadwater, Buckendoon, Esk, Woodburn, Tabbimoble, New Italy, Trustums Hill, The Gap, Kilgin, Moonem"
350,POA2473,6,0,0,0,2908,3,"Evans Head, South Evans Head, Bundjalung, Iron Gates, Doonbah"
351,POA2474,6,0,0,0,6019,3,"Cawongla, Findon Creek, Loadstone, Rukenvale, Green Pigeon, Roseberry Creek, Cedar Point, Sawpit Creek, Horseshoe Creek, Border Ranges, Barkers Vale, Eden Creek, Roseberry, Upper Eden Creek, Wadeville, Kilgra, Homeleigh, Kyogle, The Risk, Edenville, Upper Horseshoe Creek, Wiangaree, Afterlee, Toonumbar, Sherwood, Gradys Creek, Cougal, Wyneden, Geneva, Ettrick, Dairy Flat, New Park, Smiths Creek, Little Back Creek, West Wiangaree, Grevillia, Warrazambil Creek, Fawcetts Plain, Unumgar, Iron Pot Creek, Ghinni Ghi, Horse Station Creek, Terrace Creek, Lynchs Creek, Old Grevillia, Collins Creek"
352,POA2475,0,0,0,0,361,0,"Upper Tooloom, Tooloom, Urbenville"
353,POA2476,0,0,0,0,753,0,"Koreelah, Old Koreelah, Legume, Muli Muli, The Glen, Lindesay Creek, Acacia Creek, Acacia Plateau, Lower Acacia Creek, Brumby Plains, Woodenbong, Boomi Creek"
354,POA2477,12,0,0,3,11625,14,"Lynwood, Wardell, Rous, Alstonvale, Rous Mill, Tuckombil, Bagotville, Pearces Creek, Meerschaum Vale, Cabbage Tree Island, East Wardell, Wollongbar, Goat Island, Alstonville, Dalwood, Uralba"
355,POA2478,43,3,3,0,26721,56,"Empire Vale, East Ballina, Ballina, South Ballina, Cumbalum, Patchs Beach, Lennox Head, Pimlico Island, Pimlico, Keith Hall, Skennars Head, Tintenbar, Coolgardie, West Ballina, Teven"
356,POA2479,16,0,0,0,4458,6,"Bangalow, Brooklet, Binna Burra, Knockrow, Coopers Shoot, Coorabell, Newrybar, Mcleods Shoot, Nashua, Possum Creek, Fernleigh"
357,POA2480,128,8,13,9,42270,132,"Tucki Tucki, Marom Creek, East Lismore, Mcleans Ridges, Lismore, Bentley, South Gundurimba, Blue Knob, Blakebrook, Eltham, Rosebank, Goonellabah, Bexhill, Clovass, South Lismore, The Channon, Tregeagle, Jiggi, Chilcotts Grass, Nimbin, Modanville, Fernside, Keerrong, Bungabbee, Wyrallah, Koonorigan, Lismore Heights, Booyong, Eureka, Lillian Rock, Repentance Creek, Goolmangar, Tuncester, Whian Whian, Dorroughby, Rock Valley, Corndale, Tullera, Clunes, North Lismore, Caniaba, Numulgi, Richmond Hill, Larnook, Coffee Camp, Leycester, Stony Chute, Monaltrie, Nightcap, Girards Hill, Mountain Top, Federal, Tuntable Creek, Georgica, Booerie Creek, Dungarubba, Boorabee Park, Mckees Hill, Terania Creek, Ruthven, Lindendale, Dunoon, Loftville, Tuckurimba, Howards Grass, Boat Harbour, Lagoon Grass, Woodlawn"
358,POA2481,34,8,8,0,10899,31,"Hayters Hill, Broken Head, Suffolk Park, Talofa, Ewingsdale, Tyagarah, Byron Bay, Skinners Shoot, Myocum"
359,POA2482,11,0,0,0,5940,14,"Upper Wilsons Creek, Main Arm, Upper Coopers Creek, Goonengerry, Montecollum, Huonbrook, Mullumbimby, Mullumbimby Creek, Upper Main Arm, Koonyum Range, Wanganui, Palmwoods, Wilsons Creek"
360,POA2483,16,0,3,0,9997,31,"Sleepy Hollow, Middle Pocket, Crabbes Creek, Burringbar, Upper Burringbar, Wooyung, Ocean Shores, Mooball, Yelgun, The Pocket, Brunswick Heads, New Brighton, Billinudgel, South Golden Beach"
361,POA2484,47,0,3,4,17940,51,"Dum Dum, Condong, Pumpenbil, Kielvale, Chillingham, Crystal Creek, Reserve Creek, Murwillumbah South, Murwillumbah, Kunghur, Terragon, Mebbin, Round Mountain, Fernvale, Dunbible, Uki, Dungay, Mount Burrell, Clothiers Creek, Rowlands Creek, Zara, Dulguigan, Cudgera Creek, Tyalgum Creek, Limpinwood, Doon Doon, Stokers Siding, Farrants Hill, Eungella, Urliup, Tomewin, Chowan Creek, Nobbys Creek, Smiths Creek, Commissioners Creek, Hopkins Creek, Byangum, North Arm, South Murwillumbah, Back Creek, Palmvale, Kunghur Creek, Numinbah, Cedar Creek, Eviron, Byrrill Creek, Upper Crystal Creek, Mount Warning, Bray Park, Kynnumboon, Nunderi, Tygalgah, Brays Creek, Wardrop Valley, Midginbil, Tyalgum"
362,POA2485,66,8,10,5,13684,53,"Tweed Heads West, Tweed Heads"
363,POA2486,109,3,16,15,29998,92,"Piggabeen, Carool, Bilambil Heights, Tweed Heads South, Cobaki, Banora Point, Upper Duroby, Glengarrie, Duroby, Terranora, Bilambil, Cobaki Lakes, Bungalora"
364,POA2487,10,0,0,0,12655,12,"Duranbah, Cudgen, Kingscliff, Kings Forest, Fingal Head, Casuarina, Stotts Creek, Chinderah"
365,POA2488,3,0,0,0,3087,3,"Bogangar, Tanglewood, Cabarita Beach"
366,POA2489,13,0,6,0,7013,6,"Pottsville, Pottsville Beach, Hastings Point"
367,POA2490,3,0,0,0,628,0,"North Tumbulgum, Tumbulgum"
368,POA2500,1819,312,152,205,38459,1658,"Wollongong, Wollongong DC, Keiraville, Mount Keira, Gwynneville, Wollongong West, Mangerton, Spring Hill, North Wollongong, Coniston, Mount Saint Thomas, West Wollongong"
369,POA2502,1046,20,68,237,11909,1112,"Primbee, Cringila, Warrawong, Lake Heights"
370,POA2505,320,0,3,89,4811,440,"Kemblawarra, Port Kembla"
371,POA2506,201,4,17,52,7324,191,Berkeley
372,POA2508,41,0,0,9,8540,29,"Maddens Plains, Coalcliff, Helensburgh, Otford, Woronora Dam, Darkes Forest, Stanwell Tops, Stanwell Park, Lilyvale"
373,POA2515,20,0,4,3,10435,17,"Coledale, Thirroul, Clifton, Wombarra, Scarborough, Austinmer"
374,POA2516,29,3,7,3,5774,16,Bulli
375,POA2517,82,0,5,7,13142,64,"Woonona, Woonona East, Russell Vale"
376,POA2518,289,9,16,50,18211,297,"Bellambi, Corrimal East, East Corrimal, Tarrawanna, Corrimal, Towradgi"
377,POA2519,486,48,32,72,16172,457,"Balgownie, Fernhill, Mount Ousley, Fairy Meadow, Mount Pleasant"
378,POA2525,250,7,18,47,11085,214,Figtree
379,POA2526,238,3,12,48,15019,283,"Cordeaux, Cordeaux Heights, Kembla Heights, Kembla Grange, Mount Kembla, Farmborough Heights, Unanderra"
380,POA2527,101,3,13,13,20468,104,"Tullimbar, Tongarra, Calderwood, Yellow Rock, Albion Park Rail, North Macquarie, Albion Park, Croom"
381,POA2528,409,7,17,99,22632,436,"Warilla, Lake Illawarra, Windang, Barrack Heights, Mount Warrigal, Barrack Point"
382,POA2529,356,5,16,92,24995,324,"Shell Cove, Shellharbour City Centre, Blackbutt, Oak Flats, Flinders, Shellharbour Square, Dunmore, Shellharbour, Oak Flats Dc"
383,POA2530,249,4,15,46,30710,239,"Penrose, Yallah, Koonawarra, Dombarton, Huntley, Brownsville, Haywards Bay, Cleveland, Kanahooka, Dapto, Marshall Mount, Wongawilli, Avondale, Horsley"
384,POA2533,47,3,8,3,14660,42,"Jerrara, Kiama, Jamberoo, Curramore, Bombo, Kiama Heights, Minnamurra, Kiama Downs, Saddleback Mountain"
385,POA2534,11,0,3,3,5308,5,"Broughton Village, Willow Vale, Werri Beach, Toolijooa, Gerringong, Rose Valley, Gerroa, Foxground"
386,POA2535,15,0,0,0,6844,6,"Coolangatta, Broughton, Jaspers Brush, Far Meadow, Wattamolla, Bellawongarah, Woodhill, Budderoo, Shoalhaven Heads, Berry Mountain, Broughton Vale, Brogers Creek, Berry, Bundewallah, Back Forest"
387,POA2536,63,0,10,9,16462,62,"South Durras, Guerilla Bay, Catalina, Denhams Beach, Maloneys Beach, North Batemans Bay, Jeremadra, Pebbly Beach, Surfside, Bimbimbie, Benandarah, Buckenbowra, Long Beach, Surf Beach, Mogo, Depot Beach, Lilli Pilli, Runnyford, Batemans Bay, Sunshine Bay, Malua Bay, Batehaven, Nelligen, Woodlands, Rosedale, East Lynne, Currowan, Durras North"
388,POA2537,21,0,3,7,10862,23,"Congo, Meringo, Mossy Point, Moruya Heads, Bergalia, Deua, Bingie, Moruya, Mogendoura, Wamban, Broulee, Coila, Tuross Head, Deua River Valley, Tomakin, Kiora, Turlinjah"
389,POA2538,11,0,0,0,2235,5,"Mogood, Little Forest, Brooman, Woodstock, Milton, Porters Creek, Morton, Woodburn"
390,POA2539,45,0,7,9,16624,45,"Conjola, Croobyar, Bawley Point, Yatte Yattah, Burrill Lake, Kioloa, Fishermans Paradise, Berringer Lake, Cunjurong Point, Pretty Beach, Mollymook, Lake Tabourie, Bendalong, Cockwhy, Conjola Park, Yadboro, Ulladulla, Mollymook Beach, Termeil, Pointer Mountain, Manyana, Narrawallee, Lake Conjola, Kings Point, Dolphin Point, Mount Kingiman"
391,POA2540,166,9,11,31,41916,122,"Wreck Bay, Hmas Creswell, Jervis Bay, Culburra Beach, Tomerong, Sussex Inlet, Currarong, Worrigee, Cambewarra Village, Cudmirrah, Terara, Meroo Meadow, Browns Mountain, Illaroo, Old Erowal Bay, Worrowing Heights, Twelve Mile Peg, Hyams Beach, Brundee, Nowra Naval Po, Nowra Hill, Sanctuary Point, St Georges Basin, Pyree, Moollattoo, Callala Beach, Myola, Orient Point, Wrights Beach, Mundamia, Tullarwalla, Tallowal, Bream Beach, Callala Bay, Yalwal, Boolijah, Yerriyong, Berrara, Vincentia, Greenwell Point, Mondayong, Kinghorne, Wandandian, Falls Creek, Ettrema, Woollamia, Beecroft Peninsula, Wollumboola, Bewong, Erowal Bay, Burrier, Comerong Island, Swanhaven, Basin View, Bamarang, Bolong, Numbaa, Hmas Albatross, Buangla, Barringella, Comberton, Longreach, Cambewarra, Jerrawangala, Watersleigh, Huskisson, Parma, Tapitallee, Mayfield"
392,POA2541,119,6,30,13,24149,85,"Nowra Dc, Bomaderry, Nowra, West Nowra, South Nowra, Nowra East, North Nowra, Nowra North, Bangalee"
393,POA2545,0,0,0,0,985,0,"Belowra, Bodalla, Eurobodalla, Potato Point, Cadgee, Nerrigundah"
394,POA2546,14,0,3,0,8356,25,"Wallaga Lake Heights, Murrah, Narooma, Tinpot, Akolele, Bermagui, Corunna, Kianga, Central Tilba, Tilba Tilba, Dalmeny, Beauty Point, Wallaga Lake, Cuttagee, Dignams Creek, Barragga Bay, Wadbilliga, Mystery Bay, North Narooma"
395,POA2548,13,0,0,0,7013,8,"Bournda, Tura Beach, Merimbula, Berrambool, Mirador, Yellow Pinch"
396,POA2549,4,0,0,0,3526,6,"Nethercote, Broadwater, Pambula Beach, Pambula, Greigs Flat, Millingandi, Lochiel, Bald Hills, South Pambula"
397,POA2550,16,3,3,3,14688,12,"Wog Wog, Jellat Jellat, Nelson, Bournda, Mumbulla Mountain, Burragate, Coolangubra, Wandella, Doctor George Mountain, Quaama, Greendale, Mogilla, Devils Hole, Mogareeka, Verona, Towamba, Reedy Swamp, Cobargo, Stony Creek, Kalaru, Myrtle Mountain, Numbugga, Yambulla, Kameruka, Candelo, Bemboka, Tarraganda, Angledale, Rocky Hall, South Wolumla, Wapengo, Bega, Black Range, Tanja, Pericoe, Morans Crossing, Tathra, Wolumla, Wallagoot, Brogo, Tantawangalo, Chinnock, Kanoona, New Buildings, Frogs Hollow, Buckajo, Wyndham, Yowrie, Coolagolite, Toothdale, Yankees Creek, Kingswood, Coopers Gully"
398,POA2551,3,0,3,0,3227,13,"Boydtown, Green Cape, Wonboyn, Kiah, Eden, Wonboyn North, Timbillica, Wonboyn Lake, Nungatta South, Edrom, Nungatta, Nadgee, Narrabarba, Nullica"
399,POA2555,17,0,7,0,208,26,Badgerys Creek
400,POA2556,62,3,4,18,2411,64,Bringelly
401,POA2557,280,10,35,54,8727,200,"Rossmore, Catherine Field, Gregory Hills, Gledswood Hills"
402,POA2558,283,6,25,58,10780,206,"Eschol Park, Kearns, Eagle Vale"
403,POA2559,89,3,18,17,2917,103,"Claymore, Blairmount"
404,POA2560,1681,49,183,304,73810,1323,"Leumeah, Englorie Park, Woodbine, Glen Alpine, Kentlyn, Wedderburn, Macarthur Square, Blair Athol, Appin, Gilead, Rosemeadow, Airds, Campbelltown North, Ruse, Cataract, Bradbury, St Helens Park, Campbelltown, Ambarvale"
405,POA2563,0,0,0,0,289,6,Menangle Park
406,POA2564,514,13,77,78,13580,484,"Long Point, Macquarie Fields, Glenquarie"
407,POA2565,646,16,79,85,19452,417,"Ingleburn, Macquarie Links, Denham Court, Bardia"
408,POA2566,804,25,92,113,25549,593,"Minto Heights, Minto DC, St Andrews, Bow Bowing, Raby, Varroville, Minto"
409,POA2567,345,4,50,53,37425,201,"Narellan Dc, Smeaton Grange, Harrington Park, Narellan, Currans Hill, Mount Annan, Narellan Vale"
410,POA2568,3,0,0,0,1112,0,Menangle
411,POA2569,3,0,0,0,1308,6,Douglas Park
