,POA_CODE_2016,T_SOLSE_NWNAA_T,A15_24_SOLSE_NWNAA_T,A35_44_SOLSE_NWNAA_T,A65_74_SOLSE_NWNAA_T,Counted_home_Census_Night_Tot,P_SOL_SE_NW_NA_Total,suburbs
138,POA2159,46,0,4,12,4798,37,"Galston, Arcadia, Berrilee, Fiddletown"
139,POA2160,3806,219,538,458,34975,2719,"Merrylands, Merrylands West"
140,POA2161,3438,158,506,408,30535,2567,"Guildford, Old Guildford, Yennora, Guildford West"
141,POA2162,2322,79,375,284,18117,1902,"Chester Hill, Sefton"
142,POA2163,1503,49,212,210,9328,1318,"Lansdowne, Carramar, Villawood"
143,POA2164,2342,58,303,405,19068,1809,"Smithfield West, Smithfield, Woodpark, Wetherill Park"
144,POA2165,9090,346,1388,1264,41286,7265,"Fairfield West, Fairfield East, Fairfield, Fairfield Heights"
145,POA2166,14369,550,2035,1747,51010,13124,"Canley Vale, Cabramatta, Cabramatta West, Lansvale, Canley Heights"
146,POA2167,351,6,46,57,9372,245,Glenfield
147,POA2168,4495,135,673,656,42365,3670,"Green Valley, Ashcroft, Heckenberg, Busby, Cartwright, Miller, Hinchinbrook, Sadleir"
148,POA2170,9308,310,1270,1438,102607,7594,"Casula, Lurnea, Hammondville, Liverpool South, Chipping Norton, Casula Mall, Mount Pritchard, Liverpool, Moorebank, Liverpool Westfield, Prestons, Warwick Farm"
149,POA2171,1910,42,212,372,34056,1169,"Hoxton Park, Carnes Hill, Cecil Hills, West Hoxton, Len Waters Estate, Horningsea Park, Elizabeth Hills, Middleton Grange"
150,POA2172,25,0,3,7,2701,17,"Sandy Point, Voyager Point, Pleasure Point"
151,POA2173,305,6,25,59,14024,230,"Holsworthy, Wattle Grove"
152,POA2174,85,0,11,14,2217,20,Edmondson Park
153,POA2175,94,0,7,13,1792,90,Horsley Park
154,POA2176,6605,149,669,1178,46648,5554,"Bossley Park, Abbotsbury, St Johns Park, Greenfield Park, Prairiewood, Wakeley, Edensor Park"
155,POA2177,2899,55,327,450,15539,2569,"Bonnyrigg Heights, Bonnyrigg"
156,POA2178,199,3,18,33,4095,194,"Kemps Creek, Mount Vernon, Cecil Park"
157,POA2179,404,8,37,77,6287,423,"Austral, Leppington"
158,POA2190,2405,38,267,413,24924,2277,"Mount Lewis, Greenacre, Chullora"
159,POA2191,599,7,50,119,6163,518,Belfield
160,POA2192,1641,46,128,336,12317,1666,Belmore
161,POA2193,1239,46,80,248,14745,1138,"Hurlstone Park, Canterbury, Ashbury"
162,POA2194,5157,240,683,602,23926,4357,Campsie
163,POA2195,3546,185,509,378,26572,3178,"Wiley Park, Lakemba"
164,POA2196,3339,92,378,556,31021,3050,"Roselands, Punchbowl"
165,POA2197,709,14,105,103,8813,577,Bass Hill
166,POA2198,478,8,53,61,8799,396,Georges Hall
167,POA2199,2079,62,271,317,17468,1681,"Yagoona, Yagoona West"
168,POA2200,6053,285,814,852,42423,5240,"Condell Park, Mount Lewis, Bankstown Square, Bankstown Aerodrome, Bankstown North, Manahan, Bankstown"
169,POA2203,764,22,28,177,13201,815,Dulwich Hill
170,POA2204,2375,71,140,483,25410,2538,"Marrickville Metro, Marrickville, Marrickville South"
171,POA2205,1730,161,156,219,18884,931,"Turrella, Wolli Creek, Arncliffe"
